Catalogue_Number,Genus_species,Name_in_Tree,Species,Taxon_Rank,Vernacular_name,Institution,Institution_Code,Locality,Latitude,Longitude,Country,AUS_State
J53914,Cophixalus_aenigma,Cophixalus_aenigma_1,Cophixalus aenigma,species,Tapping Nursery Frog,Queensland Museum,QM,Mt Spurgeon,-16.433333,145.2,Australia,Queensland
J53913,Cophixalus_aenigma,Cophixalus_aenigma_1,Cophixalus aenigma,species,Tapping Nursery Frog,Queensland Museum,QM,Mt Spurgeon,-16.433333,145.2,Australia,Queensland
J53912,Cophixalus_aenigma,Cophixalus_aenigma_1,Cophixalus aenigma,species,Tapping Nursery Frog,Queensland Museum,QM,Mt Spurgeon,-16.433333,145.2,Australia,Queensland
J86846,Cophixalus_aenigma,Cophixalus_aenigma_1,Cophixalus aenigma,species,Tapping Nursery Frog,Queensland Museum,QM,Carbine Tableland,-16.513056,145.268611,Australia,Queensland
J86849,Cophixalus_aenigma,Cophixalus_aenigma_1,Cophixalus aenigma,species,Tapping Nursery Frog,Queensland Museum,QM,Mount Lewis,-16.581934,145.28418,Australia,Queensland
J86845,Cophixalus_aenigma,Cophixalus_aenigma_1,Cophixalus aenigma,species,Tapping Nursery Frog,Queensland Museum,QM,Carbine Tableland,-16.513056,145.268611,Australia,Queensland
J86844,Cophixalus_aenigma,Cophixalus_aenigma_1,Cophixalus aenigma,species,Tapping Nursery Frog,Queensland Museum,QM,Carbine Tableland,-16.513056,145.268611,Australia,Queensland
J86850,Cophixalus_aenigma,Cophixalus_aenigma_1,Cophixalus aenigma,species,Tapping Nursery Frog,Queensland Museum,QM,Mount Lewis,-16.581934,145.28418,Australia,Queensland
J86847,Cophixalus_aenigma,Cophixalus_aenigma_1,Cophixalus aenigma,species,Tapping Nursery Frog,Queensland Museum,QM,Mount Lewis,-16.581934,145.28418,Australia,Queensland
J53911,Cophixalus_aenigma,Cophixalus_aenigma_1,Cophixalus aenigma,species,Tapping Nursery Frog,Queensland Museum,QM,Mt Spurgeon,-16.433333,145.2,Australia,Queensland
J86848,Cophixalus_aenigma,Cophixalus_aenigma_1,Cophixalus aenigma,species,Tapping Nursery Frog,Queensland Museum,QM,Mount Lewis,-16.581934,145.28418,Australia,Queensland
J40563,Cophixalus_aenigma,Cophixalus_aenigma_1,Cophixalus aenigma,species,Tapping Nursery Frog,Queensland Museum,QM,Mt Finnigan,-15.833333,145.266667,Australia,Queensland
J40572,Cophixalus_aenigma,Cophixalus_aenigma_1,Cophixalus aenigma,species,Tapping Nursery Frog,Queensland Museum,QM,Mt Finnigan,-15.824,145.276,Australia,Queensland
J41685,Cophixalus_aenigma,Cophixalus_aenigma_1,Cophixalus aenigma,species,Tapping Nursery Frog,Queensland Museum,QM,"The Bluff, 11Km W of Mossman",-16.466667,145.266667,Australia,Queensland
J40561,Cophixalus_aenigma,Cophixalus_aenigma_1,Cophixalus aenigma,species,Tapping Nursery Frog,Queensland Museum,QM,Mt Finnigan,-15.833333,145.266667,Australia,Queensland
J40570,Cophixalus_aenigma,Cophixalus_aenigma_1,Cophixalus aenigma,species,Tapping Nursery Frog,Queensland Museum,QM,Mt Finnigan,-15.824,145.276,Australia,Queensland
J40566,Cophixalus_aenigma,Cophixalus_aenigma_1,Cophixalus aenigma,species,Tapping Nursery Frog,Queensland Museum,QM,Mt Finnigan,-15.833333,145.266667,Australia,Queensland
J93248,Cophixalus_aenigma,Cophixalus_aenigma_1,Cophixalus aenigma,species,Tapping Nursery Frog,Queensland Museum,QM,Mt Sorrow Plateau,-16.078056,145.433056,Australia,Queensland
J41696,Cophixalus_aenigma,Cophixalus_aenigma_1,Cophixalus aenigma,species,Tapping Nursery Frog,Queensland Museum,QM,"Mt Demi, 7 km SW of Mossman",-16.5,145.3,Australia,Queensland
