ahe_index,museum_index,order,family,subfamily,genus,species,original_genus_species,original_label,spp_tree_label,in_spp_tree,dataset
I5724,49605,Anura,Microhylidae,Asterophryinae,Aphantophryne,pansa,Aphantophryne_pansa,I5724_49605_Anura_Microhylidae_Aphantophryne_pansa_seq1,Aphantophryne_pansa,Yes,Hoskin et al.
I5748,101941,Anura,Microhylidae,Asterophryinae,Asterophrys,turpicola,Asterophrys_turpicola,I5748_101941_Anura_Microhylidae_Asterophrys_turpicola_seq1,Asterophrys_turpicola,Yes,Hoskin et al.
I5713,29463,Anura,Microhylidae,Asterophryinae,Austrochaperina,adelphe,Austrochaperina_adelphe,I5713_29463_Anura_Microhylidae_Austrochaperina_adelphe_seq1,Austrochaperina_adelphe_1,Yes,Hoskin et al.
I5714,30044,Anura,Microhylidae,Asterophryinae,Austrochaperina,adelphe,Austrochaperina_adelphe,I5714_30044_Anura_Microhylidae_Austrochaperina_adelphe_seq1,Austrochaperina_adelphe_2,No,Hoskin et al.
I5761,112500,Anura,Microhylidae,Asterophryinae,Austrochaperina,derongo,Austrochaperina_derongo,I5761_112500_Anura_Microhylidae_Austrochaperina_derongo_seq1,Austrochaperina_derongo,Yes,Hoskin et al.
I20361,51072,Anura,Microhylidae,Asterophryinae,Austrochaperina,fryi,Austrochaperina_fryi,I20361_51072_Anura_Microhylidae_Austrochaperina_fryi_seq1,Austrochaperina_fryi_2,No,Hoskin et al.
I20362,51073,Anura,Microhylidae,Asterophryinae,Austrochaperina,fryi,Austrochaperina_fryi,I20362_51073_Anura_Microhylidae_Austrochaperina_fryi_seq1,Austrochaperina_fryi_3,No,Hoskin et al.
I20374,conx5283,Anura,Microhylidae,Asterophryinae,Austrochaperina,fryi,Austrochaperina_fryi,I20374_conx5283_Anura_Microhylidae_Austrochaperina_fryi_seq1,Austrochaperina_fryi_1,Yes,Hoskin et al.
I5729,79163,Anura,Microhylidae,Asterophryinae,Austrochaperina,gracilipes,Austrochaperina_gracilipes,I5729_79163_Anura_Microhylidae_Austrochaperina_gracilipes_seq1,Austrochaperina_gracilipes_3,No,Hoskin et al.
I5730,79186,Anura,Microhylidae,Asterophryinae,Austrochaperina,gracilipes,Austrochaperina_gracilipes,I5730_79186_Anura_Microhylidae_Austrochaperina_gracilipes_seq1,Austrochaperina_gracilipes_2,Yes,Hoskin et al.
I5802,conx5337,Anura,Microhylidae,Asterophryinae,Austrochaperina,gracilipes,Austrochaperina_gracilipes,I5802_conx5337_Anura_Microhylidae_Austrochaperina_gracilipes_seq1,Austrochaperina_gracilipes_1,No,Hoskin et al.
I20363,141506,Anura,Microhylidae,Asterophryinae,Austrochaperina,guttata,Austrochaperina_guttata,I20363_141506_Anura_Microhylidae_Austrochaperina_guttata_seq1,Austrochaperina_guttata,Yes,Hoskin et al.
